RoomArea,NumberofAppliances,OutsideTemperature,InsulationThickness,BuildingType,HVACSystem,AverageTemperature,EnergyConsumption
37.88,15.0,34.25,15.86,Office,Central AC,25.98,1796.11
19.88,6.0,23.82,9.58,Educational,Heat Pump,25.61,272.06
29.82,6.0,29.75,13.62,Residential,Split AC,27.38,533.67
26.49,5.0,21.67,9.48,Office,Rooftop Unit,23.42,540.8
27.25,6.0,20.42,13.65,Educational,Heat Pump,20.74,340.19
152.7,19.0,11.39,22.53,Educational,VRF,19.42,2369.12
39.76,18.0,25.09,7.01,Residential,Central AC,23.27,1090.74
59.12,11.0,30.06,26.02,Residential,Central AC,25.49,972.14
48.07,13.0,35.13,16.86,Residential,Rooftop Unit,27.52,1332.47
27.94,1.0,13.61,27.19532934089372,Hospital,VRF,20.23,9770.28818760381
22.59,5.0,6.57,27.37116626515336,Hospital,Split AC,18.0,12454.130802667203
15.45,3.0,36.74,15.37,Hospital,Rooftop Unit,26.27,820.01
291.33,31.0,,16.94,Office,Split AC,24.57,4477.23
25.07,6.0,22.21,10.31,Educational,Split AC,20.45,505.38
153.54,34.0,33.1,19.67,Office,Heat Pump,26.07,3279.86
62.82,10.0,,4.31,Residential,Central AC,24.66,2016.76
13.09,1.0,21.51,12.52,Educational,Rooftop Unit,22.79,10520.592832496537
22.82,3.0,16.71,10.28,Commercial,Heat Pump,18.85,300.16
75.1,6.0,17.73,9.21,Residential,Central AC,20.16,1249.09
51.74,6.0,20.04,6.51,Office,Split AC,22.16,916.41
19.01,6.0,16.36,13.9,Residential,VRF,20.51,321.41
13.27,8.0,34.44,16.26,Residential,VRF,28.48,290.53
50.28,8.0,21.42,7.83,Residential,Split AC,23.93,865.97
11.37,2.0,28.88,9.13,Residential,Split AC,25.34,256.29
24.43903948372226,11.0,10.17,19.4,Commercial,Central AC,19.4,11531.769500902317
78.18,6.0,26.07,8.08,Commercial,Central AC,24.44,1487.25
23.36,2.0,20.65,23.21,Residential,VRF,21.44,242.92
47.96,17.0,27.6,18.16,Residential,VRF,26.54,668.0
24.13,3.0,35.86,17.09,Residential,Split AC,25.64,416.75
12.93,5.0,18.15,10.32,Office,Central AC,21.34,447.27
10.74,2.0,33.67,15.97,Residential,VRF,24.27,11892.508323826794
29.9,5.0,26.3,30.0,Commercial,Central AC,26.63,433.69
62.51,7.0,30.32,7.26,,VRF,24.7,1475.25
57.92,18.0,23.81,12.8,Educational,Central AC,22.26,1213.52
131.44,22.0,32.35,10.53, Hospital,Central AC,24.97,6109.92
40.69,5.0,13.99,9.22,Residential,VRF,22.4,870.25
139.72,39.0,42.56,14.37,Residential,Central AC,29.92,5087.23
,22.0,21.94,17.62,Residential,Split AC,23.91,3024.06
236.75,47.0,11.18,-1.1702689370696797,Commercial,Rooftop Unit,18.37,9229.69
,26.0,20.69,20.29,Residential,Rooftop Unit,21.16,2354.44
26.16,4.0,20.12,7.59,Commercial,Central AC,19.87,569.8
44.0,10.0,25.77,24.23,Commercial,Heat Pump,23.88,677.46
21.49,5.0,23.52,0.8214414006968561,Commercial,Split AC,22.46,10103.596201330907
31.2,15.0,19.24,14.68,Residential,Central AC,22.26,994.24
282.82403594728964,2.0,21.79,13.76,Residential,Central AC,21.81,116.72162963520132
60.54,9.0,19.29,15.98,Commercial,Split AC,21.01,1163.54
51.47,13.0,23.21,10.55,Educational,VRF,25.05,822.45
20.99,1.0,26.96,11.46,Office,Central AC,27.11,286.49
17.71,3.0,15.2,10.74,Office,VRF,19.51,276.28
41.12,5.0,26.54,17.14,Commercial,VRF,22.67,690.7
75.09,14.0,38.38,13.43,Commercial,Rooftop Unit,26.54,3553.82
24.64,4.0,30.79,12.04,Commercial,Split AC,23.84,794.78
13.97,7.0,26.05,17.11,Educational,VRF,23.93,323.81
68.64,9.0,42.42,19.96,Office,Heat Pump,22.77,1667.65
,11.0,25.77,11.66,Office,Split AC,24.74,889.35
123.78,39.0,20.76,8.29,office,Heat Pump,22.08,2247.0
132.35,28.0,24.08,10.1,Office,Central AC,22.58,2673.57
111.96,40.0,42.66,9.02,Residential,Split AC,29.25,4895.76
17.3,3.0,14.91,,Residential,Rooftop Unit,21.07,465.6
13.31,8.0,35.74,17.43,Educational,Split AC,26.14,477.06
,20.0,41.25,10.31,Residential,Heat Pump,23.9,2191.33
16.38,6.0,30.84,17.17,Residential,VRF,23.8,336.16
25.93,7.0,35.54,16.02,Residential,Split AC,67.45528335688714,655.55
18.53,7.0,26.19,10.56,Commercial,Split AC,26.21,592.03
41.83,14.0,16.95,24.45,Commercial,Central AC,19.26,-389.66592409044324
38.59,10.0,24.15,13.85,Hospital,Central AC,25.29,1166.22
59.95,20.0,16.91,12.03,Office,Heat Pump,20.89,1168.63
24.69,6.0,40.89,12.27,OFFICE,Central AC,27.14,1056.67
73.01,11.0,21.87,6.6,Office,Central AC,22.57,1510.37
60.41,7.0,14.94,27.72,Hospital,Rooftop Unit,18.0,1536.71
53.07,19.0,14.89,15.39,Hospital,Rooftop Unit,18.71,2283.92
36.77,19.0,41.7,27.69,Residential,Split AC,26.18,1161.39
18.03,3.0,26.5,5.72,Office,Heat Pump,23.44,299.86
23.26,6.0,19.77,14.64,Residential,VRF,21.67,355.5
34.44,10.0,23.99,7.27,Hospital,VRF,22.24,938.58
19.56,1.0,37.5,10.83,Commercial,Central AC,24.95,953.51
26.62,6.0,16.41,0.8970525750780131,Hospital,Central AC,19.68,9717.802264203907
38.14,16.0,14.91,23.38,Educational,Central AC,20.7,906.39
78.52,6.0,29.24,14.1,Residential,Central AC,25.88,1300.53
56.63,18.0,25.5,11.79,Commercial,Rooftop Unit,23.21,1754.29
61.87,5.0,26.7,13.12,Commercial,Central AC,26.89,1109.8
21.33,2.0,14.55,12.52,Office,Split AC,19.51,12944.0194473337
26.77,5.0,32.8,14.72,Hospital,VRF,23.07,915.1
28.98,5.0,24.19,,Office,Central AC,20.55,679.69
199.07,33.0,15.91,11.72,Residential,VRF,18.0,2534.35
16.52,6.0,21.09,29.55,Office,Heat Pump,22.11,320.08
70.07,18.0,39.51,20.5,Educational,Heat Pump,23.95,1498.45
65.19,14.0,25.52,23.48,Educational,Central AC,24.85,1001.15
120.57,1.0,23.82,30.0,Hospital,Central AC,23.34,8162.793549501168
19.3,5.0,25.88,16.61,Residential,VRF,24.04,248.85
19.97,1.0,27.37,11.73,Office,Heat Pump,25.18,206.62
77.61,19.0,18.05,15.82,Hospital,Heat Pump,21.17,1573.04
182.35,29.0,5.15,14.88,Residential,Central AC,18.0,5357.79
11.01,1.0,13.5,16.61,Commercial,Split AC,20.43,230.45
17.95,6.0,30.65,10.49,Office,,24.32,597.0
65.98,5.0,27.03,16.62,Hospital,Central AC,26.73,1297.7
21.97,5.0,35.53,18.94,Office,Rooftop Unit,26.22,784.69
16.74,8.0,27.85,17.58,Residential,Split AC,24.18,445.82
28.98,8.0,22.17,6.48,Residential,Heat Pump,83.46581379876054,491.62
78.36,15.0,17.41,17.2,Residential,VRF,19.57,977.97
25.04,2.0,32.14,14.93,Residential,Split AC,25.71,518.66
91.17,15.0,25.18,12.37,Office,Split AC,24.53,1814.96
26.12,8.0,30.05,10.21,Office,VRF,-12.650095143349013,604.83
68.84,13.0,22.32,4.21,Residential,Split AC,25.32,1351.01
22.3,3.0,12.56,12.28,Commercial,Central AC,21.52,754.3
23.19,5.0,17.3,16.35,Office,VRF,19.36,334.22
70.35,14.0,12.49,16.71,Residential,Central AC,20.25,1637.28
10.87,1.0,30.94,19.77,Commercial,Central AC,25.48,359.94
42.69,9.0,21.59,21.88,Residential,Rooftop Unit,20.87,706.74
58.78,17.0,28.65,10.69,Hospital,VRF,27.81,1352.34
21.13,6.0,27.68,8.9,Residential,Rooftop Unit,26.12,620.47
-30.875501274533445,16.0,26.36,30.0,Educational,Central AC,24.66,1455.52
59.14,13.0,25.42,5.55,Office,Central AC,25.0,1259.17
31.59,7.0,24.15,21.42,Residential,Split AC,24.22,420.02
42.44,20.0,14.25,0.6796904562143361,Office,Central AC,20.52,11762.238553188714
184.1,22.0,19.12,13.74,Residential,VRF,19.43,1964.71
15.21,3.0,31.12,7.81,Residential,Central AC,72.71395595179172,437.12
38.95,19.0,41.65,9.85,Commercial,Central AC,27.43,2540.3
58.7,18.0,24.92,22.44,Office,Split AC,22.78,1139.03
21.39,8.0,52.914430215930935,24.39,Office,Central AC,18.39,705.11
61.63,15.0,14.51,17.24,Residential,Rooftop Unit,18.0,1314.63
298.96,42.0,25.31,27.8969328377434,Residential,Heat Pump,26.38,13677.158165492434
218.66,51.0,23.59,-7.233910388209858,Educational,VRF,22.21,3498.4
281.4834445084489,5.0,22.06,27.47,Office,Split AC,21.82,147.15773622884006
18.673746328662205,126.0,20.47,23.12,Office,Central AC,21.52,429.72
36.3,13.0,15.31,7.34,Residential,Split AC,18.0,909.88
42.0,8.0,9.53,20.28,Commercial,Heat Pump,22.87,1194.79
161.99,34.0,20.02,11.69,Residential,Split AC,20.34,2255.92
54.14,5.0,9.39,18.72,Residential,Central AC,19.06,1143.06
46.61,2.0,22.51,26.73,Commercial,Central AC,22.4,12625.246660918361
15.27,2.0,32.06,17.81,Educational,Split AC,23.63,358.21
12.56,1.0,22.56,19.88,Residential,Rooftop Unit,21.48,171.34
233.2076269028845,11.0,28.89,8.12,Residential,Central AC,26.22,175.90989365297227
20.06,1.0,21.81,18.41,Residential,Split AC,20.47,248.38
11.323956957226011,85.0,21.49,8.67,Educational,Central AC,21.75,2139.29
130.27,14.0,29.69,15.1,Office,Split AC,24.89,2448.21
13.42,8.0,22.49,8.03,Residential,Split AC,21.16,312.95
17.06,6.0,17.43,16.35,Residential,Heat Pump,19.31,298.09
26.17,5.0,36.55,17.89,Educational,Split AC,25.04,828.45
12.3,7.0,33.48,16.56,Educational,VRF,21.62,389.13
73.95,18.0,18.96,21.17,Office,Rooftop Unit,21.25,1491.45
62.84,13.0,17.92,7.39,Commercial,Central AC,20.86,1796.48
40.71,19.0,27.03,30.0,Residential,Rooftop Unit,26.53,745.68
29.14,2.0,29.25,14.07,Office,Split AC,25.56,12389.107725191334
31.12,6.0,30.28,11.19,Office,Central AC,25.08,1008.51
135.79,38.0,19.04,20.84,Commercial,Central AC,20.36,2687.91
146.67,26.0,31.43,11.71,Office,VRF,23.7,3029.52
10.82,3.0,21.24,5.6,Residential,Central AC,22.14,245.17
40.29,,17.77,19.64,Educational,Split AC,18.0,994.5
12.83,5.0,17.38,10.57,Commercial,Central AC,19.63,368.64
56.0,6.0,22.36,15.17,Commercial,Heat Pump,22.72,670.29
14.72,1.0,27.77,9.08,Commercial,Rooftop Unit,27.9,263.43
22.98,2.0,22.51,28.72,Residential,Rooftop Unit,22.96,184.78
58.64,11.0,55.24146513339491,6.82,Office,VRF,24.99,1021.11
347.9565546540663,39.0,27.67,6.48,Residential,Split AC,23.62,130.07619454438623
116.4,15.0,24.6,9.17,Office,Rooftop Unit,22.93,2452.89
10.63,3.0,42.98,8.2,Commercial,Split AC,28.22,602.9
24.99,5.0,31.13,14.4,Residential,VRF,21.96,413.72
56.33,15.0,22.16,12.51,Residential,Heat Pump,23.34,728.03
162.1,19.0,33.12,19.55,Office,VRF,23.63,2705.18
76.27,18.0,22.61,9.5,Office,Rooftop Unit,23.44,1627.97
10.2,1.0,15.82,15.44,Commercial,Split AC,18.43,189.95
21.45,8.0,15.77,7.57,Educational,Central AC,18.0,650.15
90.1,34.0,10.0,12.86,Office,Central AC,19.32,3735.6
77.91,16.0,19.68,15.06,Office,Split AC,21.97,1480.4
14.47,7.0,6.69,14.6,Office,Split AC,18.0,639.46
15.48,2.0,14.12,0.25270750714133705,Commercial,Rooftop Unit,19.16,11563.11570482024
215.59002200575412,7.0,19.47,14.94,Educational,Heat Pump,21.97,40.367962008298264
38.52,10.0,35.59,12.97,Hospital,Heat Pump,25.84,1233.16
57.69,5.0,31.17,8.98,Office,Rooftop Unit,26.26,1556.64
41.6,19.0,22.68,15.68,Commercial,Heat Pump,23.1,925.37
19.61,6.0,22.37,22.39,Residential,Heat Pump,21.87,205.09
28.48,2.0,9.57,16.58,Commercial,VRF,18.97,642.31
52.46,17.0,14.41,23.43,Office,Central AC,19.16,1295.72
158.24,37.0,31.67,14.14,Residential,Split AC,25.58,3808.13
12.51,1.0,39.42,14.17,Residential,Heat Pump,24.69,257.44
25.26,6.0,33.76,8.73,Office,Split AC,23.45,1077.59
14.31,5.0,33.97,13.23,Residential,Split AC,25.47,
26.8,6.0,24.79,10.18,Hospital,VRF,23.73,584.41
23.08,1.0,14.58,19.05,Office,Central AC,19.15,12784.273471815311
59.33,17.0,12.04,-2.5815733666495957,Commercial,Split AC,20.88,2012.24
12.39,6.0,15.47,7.1,Commercial,Heat Pump,18.0,419.18
73.8,12.0,12.33,25.58,Residential,Heat Pump,21.95,755.06
49.96,10.0,16.53,14.26,Commercial,Heat Pump,19.85,941.91
144.98,35.0,8.76,12.38,Educational,VRF,20.54,3552.04
46.96,16.0,13.04,13.1,Residential,Central AC,19.83,1269.98
74.77,18.0,25.84,20.32,Office,Split AC,24.83,-425.97287965431434
174.17,19.0,20.59,9.98,Office,Split AC,20.31,2450.4
69.52,20.0,37.68,15.82,Residential,Split AC,27.7,2144.17
71.71,,12.66,23.13,Office,Rooftop Unit,18.26,1756.04
71.33,12.0,11.51,13.9,Commercial,Split AC,20.64,1888.26
19.87,8.0,46.020156227299665,15.03,Educational,Central AC,18.0,1039.59
69.53,11.0,26.74,30.0,Residential,Central AC,25.07,961.07
13.53,8.0,24.28,13.18,Residential,Central AC,24.35,375.79
68.5,9.0,29.5,14.51,Commercial,Heat Pump,26.91,1102.52
67.84,12.0,29.25,11.71,Office,VRF,26.44,1216.5
68.26,17.0,23.78,15.22,Residential,Central AC,22.18,-168.30187587748662
249.15604802868182,37.0,19.85,23.29,Educational,Split AC,21.28,49.76133309404461
-31.342081771730985,12.0,24.94,7.0,Residential,Rooftop Unit,22.78,1408.14
23.16,8.0,28.31,21.69,Commercial,Rooftop Unit,25.66,617.28
18.25,2.0,32.04,14.91,Residential,,24.86,211.56
72.77,18.0,5.0,6.24,Commercial,Central AC,18.0,3638.16
33.18,1.0,25.12,15.24,Commercial,Central AC,22.26,10778.644293511836
11.080055062545771,99.0,27.68,17.2,Residential,Split AC,26.52,253.13
20.35,7.0,35.96,8.34,Hospital,Split AC,24.73,1189.62
44.19,1.0,18.32,15.02,Commercial,Heat Pump,19.57,9766.558915711215
20.08,5.0,46.61270406809807,16.31,Hospital,Central AC,24.75,717.13
58.12,8.0,9.31,15.31,Residential,VRF,22.99,1095.46
16.64,8.0,45.0,13.06,Commercial,Heat Pump,26.83,674.73
12.21,7.0,31.42,20.4,Commercial,Heat Pump,21.16,419.14
29.27,4.0,17.67,17.36,Residential,Central AC,18.0,392.56
25.0,8.0,28.98,20.62,Residential ,Split AC,26.35,517.64
179.43,17.0,29.39,11.59,Commercial,Split AC,27.04,4727.09
96.96,37.0,17.64,17.39,Educational,Split AC,19.92,2292.95
14.42,5.0,40.52,8.67,Commercial,VRF,25.28,596.87
39.84,6.0,15.62,20.15,Office,VRF,18.0,586.05
134.37,33.0,57.638608039990785,7.47,Commercial,Split AC,22.4,3569.5
14.53,1.0,18.96,17.07,Educational,Split AC,18.0,212.52
42.13,10.0,12.76,14.39,Hospital,Central AC,20.52,1744.63
21.020285588741146,12.0,35.21,12.95,Commercial,Rooftop Unit,27.45,14181.545223040532
20.99,3.0,24.08,3.7,Commercial,Heat Pump,22.87,276.51
18.67,6.0,31.22,12.75,Commercial,Split AC,25.89,706.6
27.83,6.0,17.99,7.54,Commercial,Rooftop Unit,21.09,859.29
195.54,26.0,5.8,11.87,Office,Central AC,18.0,8067.04
14.5,4.0,27.72,10.55,Commercial,Rooftop Unit,24.27,468.51
15.41,2.0,21.32,21.52,Commercial,Central AC,22.57,318.54
16.2,1.0,15.45,,Residential,Rooftop Unit,18.94,233.97
12.2,7.0,35.36,15.13,Residential,Central AC,,459.71
210.68202648310242,5.0,32.2,9.05,Educational,Split AC,23.5,31.724766533391154
12.48,7.0,27.39,23.27,Office,Central AC,24.64,474.83
64.64,6.0,26.64,6.22,residential,Central AC,24.62,970.8
48.65,17.0,25.38,7.75,Office,Rooftop Unit,23.89,1498.88
-25.39714291702652,28.0,19.16,6.75,Residential,Central AC,19.32,2342.13
31.14,,19.71,7.54,Office,Split AC,21.08,696.62
15.59,4.0,50.76645536751306,20.96,Office,Heat Pump,18.89,280.08
18.76,4.0,12.89,3.83,Residential,Central AC,18.0,437.76
255.77798022703382,15.0,19.4,9.7,Hospital,Split AC,20.83,81.73007569345124
27.74,2.0,18.8,30.0,Commercial,Central AC,21.5,-481.9906582604775
20.63,4.0,16.28,10.73,Office,Central AC,18.15,395.53
18.44,6.0,28.08,11.08,,Central AC,26.2,548.51
36.02,17.0,8.6,22.28,Office,Split AC,19.33,1450.43
77.18,12.0,22.49,12.79,Office,VRF,20.87,1068.11
16.4,2.0,27.42,22.62,Educational,,23.81,264.16
111.48,34.0,18.55,15.97,Hospital,Central AC,20.04,3769.68
46.95,-6.0,25.21,7.44,Commercial,Split AC,26.21,792.19
62.91,10.0,19.77,21.52,Educational,Split AC,23.07,1064.53
69.51,18.0,27.76,15.15,Residential,VRF,26.01,1032.81
174.53,30.0,22.38,13.02,Residential,Rooftop Unit,24.58,2998.55
53.9,19.0,26.14,30.0,Hospital,Central AC,26.3,1747.89
23.646058757072566,14.0,39.16,18.17,Residential,Central AC,27.98,14168.1305704472
28.15,8.0,20.51,23.53,Residential,Heat Pump,22.08,360.75
17.07,4.0,19.77,14.99,Office,Rooftop Unit,20.23,401.63
184.23,19.0,33.72,7.87,Office,Heat Pump,23.41,
33.79,11.0,25.87,9.49,Residential,Split AC,23.99,727.19
49.73,8.0,22.57,13.46,Hospital,Heat Pump,22.62,798.69
337.27,27.0,15.46,30.0,Office,Central AC,18.68,4598.25
16.87,6.0,20.53,17.08,Office,Central AC,20.08,514.45
51.57,8.0,26.77,5.58,commercial,Heat Pump,25.86,968.29
42.49,20.0,30.52,15.91,Commercial,Central AC,25.37,1829.05
13.96,3.0,25.07,15.66,Residential,Split AC,24.77,201.65
18.55307307907504,14.0,16.8,11.81,Office,Rooftop Unit,18.0,9591.711725018014
198.21,30.0,23.91,15.3,Office, Rooftop Unit,23.49,3304.26
24.44,6.0,20.31,10.06,Office,VRF,18.16,488.61
168.89,13.0,28.16,29.27,Office,split ac,26.33,1713.3
21.11,8.0,40.71,29.96,Office,Split AC,26.68,687.24
115.03,14.0,22.42,12.1,Commercial,Central AC,22.32,2227.36
257.1881181901986,1.0,21.69,14.24,Commercial,Rooftop Unit,22.02,136.3876720324388
16.54,7.0,42.47,16.3,Residential,vrf,25.01,599.19
25.72,6.0,17.9,30.0,Hospital,Central AC,19.87,643.85
76.47,11.0,25.39,5.22,Residential,,23.82,873.52
16.94,2.0,30.1,15.7,Educational,VRF,23.17,277.81
21.07,4.0,16.65,5.87,Commercial,Central AC,18.88,529.28
19.27,3.0,6.97,17.49,Office,Heat Pump ,18.71,420.93
10.01,3.0,31.0,7.61,Educational,VRF,25.07,174.03
99.22,13.0,32.81,12.83,Educational,Central AC,26.68,2253.0
19.8,6.0,5.0,23.83,Commercial,VRF,22.13,547.29
141.08,26.0,18.44,13.0,Hospital,Central AC,20.59,4284.95
19.56,1.0,27.14,27.44,Residential, Central AC,25.9,206.24
79.67,19.0,26.46,9.7,Residential,Heat Pump,24.5,1000.36
315.12,25.0,22.69,15.07,Residential,Central AC,23.11,4531.87
16.05,1.0,15.78,11.85,Residential,Split AC,20.49,266.12
11.49,7.0,7.72,13.86,Residential,central ac,19.19,448.42
23.55,8.0,10.37,3.97,Office,VRF,21.04,831.32
72.0,-1.0,40.1,30.0,Commercial,VRF,25.9,1918.54
24.39,8.0,27.7,16.38,Commercial,Split AC,28.19,735.22
23.21,6.0,22.19,19.5,Residential,Rooftop Unit,22.17,420.42
14.18,8.0,20.53,7.71,Residential,Central AC,21.69,402.23
41.94,17.0,22.57,30.0,Office,Heat Pump,23.23,643.69
16.992556669552137,89.0,36.13,8.72,Office,Central AC,29.49,1286.34
15.22,3.0,32.1,15.38,Hospital,VRF,22.03,532.81
71.67,11.0,22.4,18.7,Residential,Split AC,23.45,921.14
24.99,8.0,36.33,8.05,EDUCATIONAL,Split AC,26.46,919.72
46.02,5.0,29.27,9.16,Office,Central AC,26.44,832.64
348.7092580468134,19.0,33.68,21.41,Educational,Split AC,23.63,34.78331371056286
27.38,6.0,43.35,28.08,Educational,Rooftop Unit,30.0,743.74
19.939871291654764,80.0,33.4,11.81,Commercial,Rooftop Unit,26.59,5306.27
174.53,17.0,28.34,13.07,Commercial,Central AC,25.38,4651.87
50.11,17.0,,9.33,Residential,Heat Pump,24.19,719.15
16.94,5.0,26.62,23.28,Office,Heat Pump,26.4,277.52
22.5,5.0,23.23,12.22,Residential,Central AC,22.32,364.71
36.92,7.0,39.66,22.1,Office,VRF,24.28,1010.34
62.83,19.0,22.36,20.64,Commercial,Rooftop Unit,23.37,1477.88
78.1,7.0,17.14,9.55,Hospital,Heat Pump,19.37,1471.2
10.06,5.0,21.19,13.56,Residential,Central AC,20.18,235.77
235.62,45.0,26.26,11.32,Office,Central AC,24.76,5827.64
21.74,5.0,17.78,26.87582975418338,Commercial,Heat Pump,19.57,13049.368060038774
196.41,39.0,14.18,8.3,Residential,Rooftop Unit,20.38,5692.43
18.968636786047966,103.0,15.7,15.31,Residential,Heat Pump,18.0,928.71
61.03,11.0,27.21,17.92,Office,Split AC,24.32,1198.35
28.22,8.0,24.12,10.26,Hospital,VRF,22.95,711.86
155.74,25.0,23.07,22.53,Residential,Rooftop Unit,21.77,2227.19
26.52,1.0,30.12,10.13,Commercial,Heat Pump,24.18,509.79
19.49246043844993,101.0,32.86,12.16,Office,Central AC,24.6,4815.64
53.41,10.0,41.45,13.83,Office,Split AC,,1916.97
226.95,40.0,40.14,19.53,Educational,Split AC,27.15,6393.23
20.61,7.0,24.22,10.93,Commercial,Split AC,22.76,628.85
20.79,2.0,29.49,3.64,Commercial,Heat Pump,75.99779724607313,430.46
26.01,4.0,16.56,14.29,Commercial,Central AC,18.0,568.53
16.51,4.0,17.9,9.07,Residential,Rooftop Unit,18.0,264.59
292.521229057937,6.0,18.55,17.71,Commercial,VRF,21.18,36.86350350427795
128.11,31.0,18.55,15.54,Office,Split AC,21.18,2845.08
17.73,8.0,26.45,19.8,,Split AC,26.23,489.7
152.9,2.0,23.24,11.03,Commercial,Split AC,21.57,10185.616953697903
177.16,31.0,29.05,15.59,Commercial,Split AC,26.19,3757.49
320.89,39.0,25.71,9.98,Educational,Central AC,-17.65026087181302,5553.55
174.03,26.0,34.1,14.94,Residential,Rooftop Unit,61.155315478752605,4524.03
101.93,10.0,26.31,25.57,Educational,Heat Pump,23.42,1007.96
24.54,8.0,22.6,9.79,Educational,Central AC,21.99,572.14
124.87,27.0,18.03,24.35,Commercial,Rooftop Unit,22.71,3211.49
71.14,11.0,21.7,17.75,Residential,Central AC,21.6,943.61
18.51,4.0,32.65,9.87,Residential,Central AC,24.68,606.63
,35.0,19.92,5.76,Hospital,Split AC,21.84,5874.24
17.56,-6.0,14.21,9.38,Educational,Split AC,18.73,449.91
70.45,14.0,34.37,24.58,Commercial,VRF,23.9,1763.05
25.71,2.0,19.08,12.78,Hospital,CENTRAL AC,19.62,556.35
96.19,34.0,28.03,16.29,Educational,Central AC,25.87,2920.19
